14,-1-1,50,12.2665,5.446
15,-1-1,12,9.91449,2.271
16,-1-1,53,9.54974,4.31
17,-1-1,51,8.99612,6.508
18,-1-1,02,11.5945,9.761
19,-1-1,64,7.93834,8.088
20,-1-1,55,5.80391,15.947
21,-1-1,45,11.7821,15.158
22,-1-1,25,8.82999,25.116
23,-1-1,62,4.61603,16.088
24,-1-1,35,5.20249,14.846
25,-1-1,30,6.53445,5.123
26,-1-1,40,7.3168,2.74
27,-1-1,60,6.82256,2.438
28,-1-1,03,5.49987,4.114
29,-1-1,20,13.0253,1.5
30,-1-1,54,3.6483,3.105
31,-1-1,15,15.5989,1.145
32,-1-1,21,3.38512,1.789
33,-1-1,05,11.1267,1.261
34,-1-1,04,6.95364,2.115
35,-1-1,01,10.7656,1.57
36,-1-1,74,1.54732,3.968
37,-1-1,46,8.82264,2.796
38,-1-1,56,-2.60827,2.831
39,-1-1,10,11.6274,2.571
40,-1-1,47,-0.105631,1.875
41,-1-1,36,10.9931,1.25
42,-1-1,37,3.16488,3.536
43,-1-1,26,12,4.161
44,-1-1,16,2,19.425
45,-1-1,65,-2,30.672
46,-1-1,75,2,14.675
47,-1-1,66,-2,6.851
48,-1-1,77,2,2.729
49,-1-1,76,-2,0.346
50,-1-1,63,2,0.176
51,-1-1,73,-2,0.036
52,-1-1,72,2,0.019
53,-1-1,61,-2,0.014
54,-1-1,70,2,0.006
55,-1-1,71,-2,0.003
56,-1-1,00,2,0
57,-1-1,11,-2,0
58,-1-1,06,-999,0
59,-1-1,07,-2,0
60,-1-1,17,2,0
61,-1-1,57,-2,0
62,-1-1,67,-999,0
63,-1-1,27,-999,0
64,-1-1,-1-1,-999,0
64,-1-1,-1-1,-999,0
4,-1-1,23,-999,0
5,-1-1,22,8.27623,4.262
6,-1-1,32,15.8742,6.772
7,-1-1,24,9.43228,23.649
8,-1-1,13,13.1014,30.672
9,-1-1,31,9.43228,2.599
10,-1-1,41,13.1014,7.579
11,-1-1,42,7.72035,3.967
12,-1-1,25,14.0297,2.977
13,-1-1,15,9.5754,6.312
14,-1-1,05,10.6856,4.225
15,-1-1,02,7.52249,4.148
16,-1-1,03,9.50094,3.141
17,-1-1,14,11.572,3.376
18,-1-1,35,6.67343,2.631
19,-1-1,12,9.96558,2.075
20,-1-1,51,7.36403,3.891
21,-1-1,52,14.5288,3.729
22,-1-1,30,2.19784,5.021
23,-1-1,04,11.988,2.06
24,-1-1,01,2.82578,1.313
25,-1-1,21,19.1993,2.083
26,-1-1,20,-3.25924,4.049
27,-1-1,50,18.4937,4.37
28,-1-1,53,-6.54027,2.167
29,-1-1,40,24.6791,1.355
30,-1-1,60,-7.77258,1.955
31,-1-1,54,15.2679,5.641
32,-1-1,65,-8.2327,3.572
33,-1-1,64,18.9093,5.019
34,-1-1,45,-3.16341,1.629
35,-1-1,55,14.8767,3.501
36,-1-1,74,-6.22348,3.195
37,-1-1,56,15.6498,4.702
38,-1-1,46,-4.81472,3.025
39,-1-1,47,14.3536,3.359
40,-1-1,36,-5.37592,1.555
41,-1-1,37,10.604,1.641
42,-1-1,27,-6.75339,7.275
43,-1-1,76,16,85.059
44,-1-1,62,-5,29.109
45,-1-1,26,5,20.658
46,-1-1,11,-5,5.587
47,-1-1,73,5,1.457
48,-1-1,75,-5,0.49
49,-1-1,63,5,0.424
50,-1-1,57,-5,0.054
51,-1-1,72,5,0.031
52,-1-1,77,-5,0.009
53,-1-1,66,5,0.006
54,-1-1,71,-5,0.002
55,-1-1,00,5,0.002
56,-1-1,10,-5,0.001
57,-1-1,06,5,0.001
58,-1-1,17,-5,0.001
59,-1-1,16,5,0
60,-1-1,67,-999,0
61,-1-1,61,5,0
62,-1-1,-1-1,-999,0
62,-1-1,70,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0.001
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
63,-1-1,-1-1,-999,0
